Título,Preço (R$),Avaliação,Bairro,Imóvel,Hóspedes,Camas,Quartos,Banheiros,Cozinha,Wi-Fi,Piscina
Apartamento Mobiliado e Completo com Smart TV!,159,4.72,Sé,Condomínio inteiro,2,1,1,1,Tem,Tem,Tem
Studio Mobiliado na República em Prédio Icônico!,182,4.7,República,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
"São Paulo - Tour de Compras e Lazerb  ,",118,4.98,Brás,Apartamento inteiro,2,1,1,1,Tem,Tem,Não tem
Local aconchegante e tranquilo.,80,4.98,Brooklin,Loft inteiro,1,2,1,1,Tem,Tem,Não tem
Quarto para 1 pessoa na Bela Vista / Liberdade,62,4.93,Liberdade,Quarto inteiro,1,1,1,2,Tem,Tem,Não tem
S88 -  Moderno e aconchegante próx. Av Paulista!,141,4.95,Consolacao,Loft inteiro,2,2,0,1,Tem,Tem,Tem
Studio Casal Mobiliado - Butantã,90,,Ferreira,Condomínio inteiro,2,0,1,1,Tem,Tem,Não tem
Quarto em rua tranquila próximo ao metro,57,5.0,Sumaré,Quarto inteiro,2,1,1,1,Tem,Tem,Não tem
Studio 509 bairro- Consolação  com metrô próximo.,119,4.98,Consolacao,Loft inteiro,2,1,0,1,Tem,Tem,Tem
Suíte para acomodar até 3 hóspedes.,60,4.91,Guarulhos,Quarto inteiro,3,2,1,1,Tem,Tem,Não tem
Apartamento inteiro próximo ao Mackenzie com wi-fi,100,,Vila Buarque,Apartamento inteiro,2,2,0,1,Tem,Tem,Não tem
Apto 1 dormitório perfeito no Copan!,125,5.0,República,Apartamento inteiro,2,2,1,1,Tem,Tem,Não tem
Flat Alamedas Jd. Paulista,138,4.63,Cerqueira César,Flat inteiro,2,1,0,1,Tem,Tem,Tem
"Apartamento Inteiro: Região central de Mooca, SP",110,4.92,Mooca,Apartamento inteiro,2,1,1,1,Tem,Tem,Não tem
Vista Fantástica no Copan ✨ Cama Queen,143,4.91,República,Apartamento inteiro,2,1,1,1,Tem,Tem,Não tem
CasApp Studio Novinho no Coração de São Paulo 809,106,4.68,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Studio.centro São Paulo 2 minutos metro Anhangabaú,90,4.67,Bela Vista,Apartamento inteiro,2,1,1,1,Tem,Tem,Não tem
Studio novo com vista imperdível do centro de SP !,86,4.61,Sé,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
"Estúdio Mobiliado com Varanda, Smart-TV e Wi-Fi !",98,,Centro,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
Quarto e banheiro privativo nos jardins,85,5.0,Jardim Paulista,Quarto inteiro,1,1,1,1,Tem,Tem,Não tem
Suíte ampla em ateliê artístico - c/ café da manhã,75,5.0,Mirandópolis,Quarto inteiro,3,2,1,1,Tem,Tem,Não tem
"Apto. Studio 40m2 com sacada,   70m do metrô",106,4.86,Campos Elíseos,Apartamento inteiro,3,1,0,1,Tem,Tem,Não tem
Luxury Studio With amenities  - Vila Olímpia,55,5.0,Vila Olímpia,Apartamento inteiro,2,1,0,1,Tem,Tem,Tem
"Aeroporto, IBC,Autódromo,Senac, Hotel Transamérica",60,4.93,Vila Sofia,Quarto inteiro,2,1,1,1,Tem,Tem,Não tem
HOSPEDAGEM RODEADA DE ÁREAS VERDES,99,,Vila Uberabinha,Quarto inteiro,2,1,1,1,Não tem,Tem,Tem
Flat Particular Transamerica Paulista,141,4.63,Cerqueira César,Flat inteiro,2,1,0,1,Tem,Tem,Tem
Flat c/Sacada - Região  Ibirapuera próximo UNIFESP,100,,Vila Clementino,Flat inteiro,2,1,1,1,Tem,Tem,Tem
Stúdio aconchegante. Ótima localização do Centro.,110,4.73,República,Apartamento inteiro,3,1,0,1,Tem,Tem,Não tem
Kit para 1 pessoa com ar cond a 300m do metrô Ap2,60,,Ipiranga,Apartamento inteiro,1,1,0,1,Tem,Tem,Não tem
Quarto Suite,60,4.6,Morumbi,Casa inteira,1,1,1,1,Tem,Tem,Não tem
#809 - Cyclinn Vila Olimpia,204,4.88,Vila Olímpia,Apartamento inteiro,4,3,1,1,Não tem,Tem,Tem
Itaim Bibi Address Faria Lima Casal 3,90,,Itaim Bibi,Flat inteiro,2,1,1,1,Não tem,Tem,Tem
CasApp Studio Novinho no Coração de São Paulo 303,102,4.82,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
"Banheiro, micro e frigobar. 10min a pé Aeroporto",69,4.95,Campo Belo,Quarto inteiro,2,1,1,1,Tem,Tem,Não tem
Flat Imperdível Vila Clementino/Ibirapuera,96,,Vila Clementino,Flat inteiro,2,1,1,1,Tem,Tem,Tem
"Apto. Studio 40m2 com sacada,   70m do metrô",106,4.86,Campos Elíseos,Apartamento inteiro,3,1,0,1,Tem,Tem,Não tem
Quarto no bairro do Morumbi!,58,5.0,Vila Andrade,Quarto inteiro,2,0,1,2,Tem,Tem,Não tem
Stúdio aconchegante. Ótima localização do Centro.,110,4.73,República,Apartamento inteiro,3,1,0,1,Tem,Tem,Não tem
suíte em casa de vila privativa na Vila Olimpia,62,5.0,Vila Olímpia,Quarto inteiro,1,1,1,2,Tem,Tem,Não tem
