Título,Preço (R$),Avaliação,Bairro,Imóvel,Características
Flat Particular c/ Cozinha - The Palace Moema.,140,4.9,Indianópolis,Flat inteiro,"['3 hóspedes', '1 quarto', '2 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Apartamento na Santa Efigênia,56,4.74,Centro,Quarto inteiro,"['2 hóspedes', '1 quarto', '0 camas', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
Flat com serviços - Hosp. Sírio Libanês/Paulista,98,,Bela Vista,Flat inteiro,"['2 hóspedes', '1 quarto', '3 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
"Quarto c/ banheiro,Jardins,2 quadras Paulista e HC",61,4.74,Cerqueira César,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Cozinha']"
Studio deslumbrante em São Paulo próximo ao metrô,110,4.92,República,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Studio Mobiliado na Consolação à passos do Metrô!,83,4.9,Consolacao,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
Studio incrível em São Paulo próximo ao metrô,110,4.75,Consolacao,Flat inteiro,"['3 hóspedes', '1 quarto', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
FIQUE PRÓXIMO AO PARQUE DO IBIRAPUERA,99,,Vila Uberabinha,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi']"
FLAT 104 MARAVILHOSO NOS JARDINS,135,,Cerqueira César,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Quarto Premium Moema Congonhas-Amarelo,60,5.0,Indianópolis,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '2 banheiros compartilhados', 'Wi-Fi', 'Cozinha']"
Suite Solteiro. Banheiro privado 12 min Sao Joaqu,56,5.0,Aclimação,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Cozinha']"
Quarto Confortável próximo do metrô,60,4.95,Brás,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
"Aeroporto, IBC,Autódromo,Senac, Hotel Transamérica",60,5.0,Vila Sofia,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
